	Replicate	Dep Power (W)	O2 Flow (sccm)	Dep Press (mTorr)	Dep Temp (°C)	Ox Temp (°C)	Ox Press (atm)	Ox Time (min)	Vac Ann Temp (°C)	Vac Ann Time (min)	Dep Thickness (nm)	Batch	Dep Rate (nm/min)	Dep Time (min)	min	sec	Hall mobility (cm^2/V*s)	Carrier concentration (#/cm^3)
1	1	3	4.4	4.3	425	557	1	98.8	584.1	90.1	7.7	Batch 1	0.24	32.08333	32	5	<Contact Fail>	<Contact Fail>
1	2	3	4.4	4.3	425	557	1	98.8	584.1	90.1	7.7	Batch 1	0.24	32.08333	32	5	<Contact Fail>	<Contact Fail>
1	3	3	4.4	4.3	425	557	1	98.8	584.1	90.1	7.7	Batch 1	0.24	32.08333	32	5	<Contact Fail>	<Contact Fail>
2	1	28	11.5	9.7	25	476.8	0.02	14.3	155.4	18.1	5.1	Batch 1	1.6	3.1875	3	11	4.36	1.74E+20
2	2	28	11.5	9.7	25	476.8	0.02	14.3	155.4	18.1	5.1	Batch 1	1.6	3.1875	3	11	4.33	1.60E+20
2	3	28	11.5	9.7	25	476.8	0.02	14.3	155.4	18.1	5.1	Batch 1	1.6	3.1875	3	11	4.49	1.58E+20
3	1	40	9.1	3.4	425	262.5	0.02	71.7	400	57.9	2.2	Batch 1	4.8	0.458333	0	28	3.89	1.96E+20
3	2	40	9.1	3.4	425	262.5	0.02	71.7	400	57.9	2.2	Batch 1	4.8	0.458333	0	28	4.14	1.92E+20
3	3	40	9.1	3.4	425	262.5	0.02	71.7	400	57.9	2.2	Batch 1	4.8	0.458333	0	28	4.26	1.83E+20
4	1	14	16.9	6.6	25	774.1	1	39.9	728.4	73.6	9.3	Batch 1	1	9.3	9	18	<Contact Fail>	<Contact Fail>
4	2	14	16.9	6.6	25	774.1	1	39.9	728.4	73.6	9.3	Batch 1	1	9.3	9	18	<Contact Fail>	<Contact Fail>
4	3	14	16.9	6.6	25	774.1	1	39.9	728.4	73.6	9.3	Batch 1	1	9.3	9	18	<Contact Fail>	<Contact Fail>
5	1	19	7	8.5	25	661.6	1	82.5	288.6	31	3.5	Batch 1	1.4	2.5	2	30	1.91	5.61E+19
5	2	19	7	8.5	25	661.6	1	82.5	288.6	31	3.5	Batch 1	1.4	2.5	2	30	2.62	4.60E+19
5	3	19	7	8.5	25	661.6	1	82.5	288.6	31	3.5	Batch 1	1.4	2.5	2	30	2.06	5.29E+19
6	1	34	19.1	5.6	425	300	0.02	58.2	620.4	77.2	5.9	Batch 1	3.1	1.903226	1	54	<Contact Fail>	<Contact Fail>
6	2	34	19.1	5.6	425	300	0.02	58.2	620.4	77.2	5.9	Batch 1	3.1	1.903226	1	54	<Contact Fail>	<Contact Fail>
6	3	34	19.1	5.6	425	300	0.02	58.2	620.4	77.2	5.9	Batch 1	3.1	1.903226	1	54	<Contact Fail>	<Contact Fail>
7	1	23	1.6	7.3	25	364.3	0.02	118	474.1	117	8.6	Batch 1	2.2	3.909091	3	55	7.25	5.66E+19
7	2	23	1.6	7.3	25	364.3	0.02	118	474.1	117	8.6	Batch 1	2.2	3.909091	3	55	6.71	5.85E+19
7	3	23	1.6	7.3	25	364.3	0.02	118	474.1	117	8.6	Batch 1	2.2	3.909091	3	55	6.58	5.81E+19
8	1	8	14.2	2.6	425	594.5	1	26.1	48.9	14.6	1.7	Batch 1	0.8	2.125	2	8	1.7	1.19E+20
8	2	8	14.2	2.6	425	594.5	1	26.1	48.9	14.6	1.7	Batch 1	0.8	2.125	2	8	1.43	1.47E+20
